line_id,ridership_weighted_income,share_low_income_stations,avg_weekly_delays,avg_monthly_delays
1,137094.22529259793,0.08904109589041095,77.74476455320726,337.9166666666667
2,102349.47473295075,0.41312741312741313,99.42027128908664,432.28333333333336
3,121959.9262130792,0.31343283582089554,52.846858546533184,229.95
4,105024.89777411395,0.5190839694656488,80.93457174638486,351.8
5,95906.46384316566,0.48945147679324896,51.41441848967989,223.61666666666667
6,65222.868389043506,0.6012658227848101,103.03491317513289,448.06666666666666
6X,85197.30781851694,0.48672566371681414,,
7,104954.1052631579,0.09090909090909091,46.10252935360277,200.58333333333334
7X,112645.46666666666,0.1111111111111111,,
A,97606.11363636363,0.24444444444444444,119.3186033864788,518.7833333333333
B,82847.125,0.35135135135135137,37.78070173756281,164.31034482758622
C,110391.54285714286,0.225,52.83591781200706,229.88135593220338
D,76541.69230769231,0.4358974358974359,79.67956834754665,346.65
E,124646.28571428571,0.08333333333333333,66.12699666295883,287.6
F,106622.35714285714,0.15555555555555556,90.65194320850328,394.43333333333334
FS,99649.75,0.0,,
FX,100792.32432432432,0.1794871794871795,,
G,132561.15,0.047619047619047616,40.717250030898526,177.01666666666668
GS,93923.0,0.5,,
H,76061.0,0.2,,
J,70474.67857142857,0.3333333333333333,,
L,91152.66666666667,0.20833333333333334,28.173026201952787,122.53333333333333
M,92577.82857142857,0.16666666666666666,33.18582406377456,144.28333333333333
N,108337.1081081081,0.13157894736842105,99.60273544679272,433.26666666666665
Q,107234.0,0.20689655172413793,74.236387961933,322.9
R,123953.36170212766,0.061224489795918366,55.99364231862564,243.55
SI,98137.75,0.14285714285714285,,
W,125185.32558139534,0.06818181818181818,,
Z,73957.05263157895,0.2857142857142857,,
